Latitud;Longitud;Profundidad;Magnitud
-21.6 ;-70.06 ;47;5.3
-19.74 ;-69.25 ;101;5.3
-23.06 ;-69.32 ;94;5.2
-18.11 ;-70.24 ;120;6.4
-23.74 ;-69.42 ;99;5
-19.72 ;-69.33 ;101;5.4
-21.83 ;-68.54 ;121;5.7
-20.54 ;-69.03 ;93;5.1
-21.51 ;-69.49 ;62;5.3
-20.81 ;-69.67 ;59;5.1
-20.12 ;-69.31 ;90;5.5
-22.85 ;-70.38 ;51;5.1
-19.37 ;-69.52 ;113;5.7
-22.28 ;-68.86 ;118;5.7
-19.62 ;-69.3 ;100;5.2
-24.58 ;-69.3 ;72;5.5
-20.99 ;-69.73 ;97;5.2
-18.56 ;-69.6 ;122;5.3
-21.38 ;-69.52 ;40;5.2
-22.35 ;-68.81 ;100;5.7
-23.85 ;-68.78 ;106;5.3
-19.16 ;-69.33 ;110;4.2
-19.46 ;-69.45 ;93;4.9
-19.96 ;-70.81 ;21;6.7
-19.99 ;-70.75 ;23;4.5
-19.93 ;-70.94 ;28;5.9
-19.99 ;-70.89 ;36;5.1
-20.01 ;-70.83 ;10;4.5
-19.91 ;-70.91 ;33;5.1
-19.96 ;-70.95 ;39;5.8
-20.02 ;-70.84 ;20;5
-24.03 ;-69.25 ;96;5.4
-19.84 ;-71.38 ;32;5.8
-19.82 ;-70.88 ;20;5.3
-19.79 ;-70.94 ;34;6.1
-19.88 ;-70.84 ;6;5.4
-19.8 ;-70.81 ;42;5.1
-19.82 ;-70.87 ;41;5.3
-19.59 ;-70.79 ;43;5.5
-19.51 ;-69.17 ;114;5.6
-19.57 ;-70.91 ;39;8.2
-19.84 ;-70.93 ;22;5.9
-19.62 ;-70.63 ;36;5.1
-20.06 ;-71.02 ;2;5.1
-20.19 ;-70.82 ;23;5.4
-20.03 ;-70.52 ;34;5.1
-19.8 ;-70.48 ;33;4.5
-19.75 ;-69.97 ;42;4.5
-20.12 ;-70.39 ;30;4.5
-19.39 ;-70.26 ;38;4.3
-19.97 ;-71.12 ;33;5
-19.57 ;-70.53 ;34;4.8
-19.95 ;-70.88 ;29;4.9
-19.89 ;-71.11 ;39;5.1
-20.13 ;-70.79 ;39;5.7
-20.16 ;-70.07 ;44;4.2
-20.38 ;-70.58 ;26;4.7
-20.15 ;-70.1 ;46;4.6
-20.08 ;-70.47 ;28;4
-19.99 ;-71.05 ;32;5.3
-19.95 ;-70.4 ;33;4
-19.8 ;-70.29 ;42;4.3
-19.89 ;-70.08 ;53;4.4
-20.16 ;-70.4 ;36;4.4
-19.85 ;-70.27 ;41;4
-20.06 ;-70.52 ;28;4.6
-20.29 ;-70.61 ;26;6.3
-20.52 ;-70.44 ;28;7.6
-20.74 ;-70.54 ;13;5.3
-20.57 ;-70.43 ;28;4.5
-20.61 ;-70.56 ;36;5.1
-19.96 ;-70.91 ;20;5
-20.35 ;-70.54 ;26;4.5
-20.59 ;-70.67 ;12;5
-20.8 ;-70.65 ;38;6.3
-20.8 ;-70.67 ;30;6.3
-20.47 ;-70.57 ;20;4.6
-20.76 ;-70.42 ;36;5.5
-20.77 ;-70.44 ;31;5.5
-20.62 ;-70.64 ;30;4.7
-20.36 ;-70.03 ;43;4.4
-20.28 ;-70.47 ;37;4.8
-20.59 ;-70.77 ;16;5.2
-20.34 ;-69.92 ;48;4
-20.66 ;-70.34 ;32;4.7
-20.48 ;-70.49 ;28;4.5
-20.6 ;-70.93 ;36;4.8
-20.07 ;-70.55 ;34;4.2
-20.31 ;-70.51 ;21;4.1
-20.17 ;-70.37 ;35;4.3
-20.18 ;-70.63 ;41;5.1
-20.62 ;-70.57 ;40;6.1
-20.62 ;-70.61 ;33;6.1
-22.16 ;-70.26 ;70;5.2
-20.62 ;-70.7 ;20;4.6
-20.37 ;-69.86 ;50;4
-20.35 ;-69.95 ;44;4
-20.17 ;-70.52 ;37;4.8
-20.71 ;-70.69 ;30;4.7
-20.6 ;-70.67 ;21;4.6
-20.16 ;-70.54 ;43;5.4
-20.27 ;-70.22 ;40;4.1
-20.28 ;-70.03 ;52;4.3
-19.87 ;-70.22 ;45;4.5
-20.41 ;-70.98 ;45;5
-20.17 ;-70.37 ;38;4
-19.77 ;-70.5 ;41;4.5
-20.04 ;-69.29 ;102;4.3
-20.64 ;-70.87 ;36;4.7
-20.13 ;-70.91 ;36;6.1
-20.14 ;-70.92 ;20;5
-20.14 ;-70.9 ;39;5
-20.14 ;-70.37 ;29;4.7
-19.77 ;-70.48 ;39;5
-20.36 ;-69.89 ;52;4
-19.88 ;-70.86 ;40;5.1
-20.51 ;-70.65 ;30;4.6
-20.54 ;-70.7 ;26;4.8
-20.58 ;-70.73 ;35;4.4
-20.56 ;-70.98 ;38;5.2
-20.4 ;-70.48 ;32;4.3
-19.87 ;-70.94 ;33;4.6
-19.87 ;-70.88 ;33;4.5
-20.78 ;-70.81 ;15;4.9
-20.62 ;-70.92 ;23;5
-19.99 ;-70.11 ;39;4.3
-20.34 ;-70.87 ;16;4.7
-20.23 ;-70.91 ;37;4.3
-19.99 ;-71.03 ;38;4.9
-20.55 ;-70.97 ;33;4.3
-20.72 ;-70.65 ;39;6.2
-20.55 ;-70.81 ;38;4.6
-19.94 ;-70.93 ;39;5
-23.25 ;-68.92 ;112;4.4
-20.08 ;-70.51 ;40;5.3
-20.28 ;-70.47 ;30;4.3
-20.71 ;-70.72 ;22;4.5
-21.16 ;-68.62 ;124;4.5
-20.58 ;-70.72 ;22;5.2
-20.73 ;-70.79 ;26;4.9
-18.56 ;-70.9 ;44;4.6
-20.04 ;-70.46 ;30;4.1
-20.2 ;-70.86 ;40;5.3
-20.23 ;-70.85 ;22;4.3
-20.19 ;-70.83 ;28;5.3
-20.2 ;-70.9 ;40;4.6
-20.18 ;-70.85 ;37;5.3
-20.19 ;-70.88 ;36;4.4
-22.53 ;-69.09 ;99;5.2
-20.53 ;-70.38 ;39;4.1
-20.66 ;-70.95 ;47;4.4
-19.96 ;-71.11 ;40;5.3
-19.68 ;-70.96 ;32;5.2
-20.01 ;-69.15 ;94;4.2
-20.09 ;-70.91 ;36;4.9
-18.08 ;-69.36 ;128;4.3
-19.9 ;-71.18 ;36;4.8
-20.28 ;-70.98 ;38;4.6
-20.51 ;-70.79 ;27;4
-19.56 ;-70.37 ;44;5
-19.95 ;-71.28 ;27;4.8
-20.01 ;-71.06 ;32;4.9
-20.04 ;-70.92 ;42;4.5
-20.18 ;-70.35 ;42;4.5
-19.93 ;-70.83 ;43;4.6
-19.93 ;-70.88 ;41;4.1
-19.28 ;-71.03 ;38;4.7
-20.2 ;-70.74 ;41;5.1
-20.23 ;-68.19 ;172;5.1
-19.86 ;-70.87 ;42;4.8
-19.57 ;-70.41 ;35;4.4
-19.96 ;-70.98 ;34;4.8
-22.3 ;-68.79 ;119;4.5
-20.19 ;-70.43 ;34;4.1
-20.17 ;-69.23 ;95;4.6
-18.94 ;-69.47 ;107;4
-20.65 ;-70.92 ;36;4.6
-22.77 ;-66.86 ;245;5.8
-19.68 ;-71.19 ;37;5.4
-23.5 ;-68.85 ;115;5.5
-23.49 ;-68.86 ;112;5.5
-20.0 ;-70.97 ;37;5.5
-19.95 ;-70.93 ;32;4.4
-19.96 ;-70.98 ;33;4.6
-20.33 ;-69.89 ;57;4.1
-23.41 ;-68.88 ;109;4
-20.86 ;-70.47 ;30;4.7
-20.25 ;-70.75 ;31;4.5
-21.31 ;-69.97 ;68;5.3
-21.31 ;-69.98 ;62;5.2
-21.3 ;-70.0 ;60;5.5
-21.3 ;-70.0 ;60;5.5
-19.79 ;-70.5 ;35;4.1
-22.63 ;-69.54 ;38;4
-20.64 ;-70.79 ;24;4.9
-20.34 ;-70.22 ;40;5
-20.36 ;-70.22 ;37;5
-20.22 ;-70.85 ;40;4.3
-24.94 ;-69.4 ;108;5.5
-23.97 ;-69.56 ;91;5
-20.21 ;-70.89 ;19;4.5
-20.22 ;-70.9 ;35;4.3
-19.94 ;-70.95 ;21;5.4
-19.82 ;-70.94 ;40;6
-19.84 ;-70.89 ;39;5
-19.77 ;-70.94 ;40;5.2
-19.76 ;-71.04 ;33;5.4
-20.34 ;-69.68 ;53;4.2
-20.47 ;-70.14 ;39;4
-20.78 ;-70.52 ;38;4.6
-19.32 ;-69.43 ;100;4
-22.92 ;-70.46 ;39;4.1
-19.7 ;-69.13 ;112;4.2
-24.07 ;-69.19 ;91;4.8
-20.24 ;-70.31 ;41;5.6
-19.94 ;-70.11 ;45;4.3
-20.15 ;-70.99 ;39;4.7
-20.15 ;-70.54 ;40;4.7
-20.27 ;-69.98 ;51;4
-23.28 ;-68.93 ;96;4.2
-20.24 ;-68.74 ;122;5.5
-22.97 ;-69.88 ;53;4.4
-20.13 ;-70.48 ;32;4.6
-20.12 ;-70.37 ;22;4
-23.15 ;-70.64 ;42;4.2
-20.43 ;-69.46 ;79;4.4
-20.16 ;-70.02 ;51;5.6
-20.34 ;-68.8 ;122;4.5
-21.74 ;-69.14 ;90;4.7
-20.03 ;-71.02 ;42;4.7
-20.07 ;-69.25 ;105;4.2
-20.14 ;-70.37 ;40;4.2
-19.87 ;-69.21 ;103;4.1
-20.73 ;-70.61 ;22;4.4
-20.73 ;-70.71 ;41;4.2
-21.8 ;-70.13 ;65;4.5
-20.19 ;-69.08 ;100;5.7
-20.52 ;-70.1 ;48;4
-23.45 ;-69.34 ;79;4.3
-20.7 ;-70.34 ;38;5.1
-18.76 ;-70.07 ;102;4.8
-20.23 ;-70.84 ;39;4.2
-20.09 ;-69.04 ;113;4.4
-23.62 ;-67.16 ;257;6.3
-21.83 ;-68.78 ;129;4.7
-23.09 ;-69.19 ;82;4.1
-19.65 ;-69.47 ;109;5.5
-19.99 ;-70.95 ;52;5
-22.89 ;-68.3 ;144;5
-18.28 ;-70.41 ;71;4.2
-20.18 ;-69.02 ;106;4.2
-20.25 ;-69.2 ;102;5
-20.57 ;-70.55 ;45;4.7
-19.39 ;-69.2 ;113;4.7
-21.62 ;-69.51 ;80;4.6
-21.63 ;-68.72 ;111;5.6
-20.81 ;-69.95 ;45;4
-20.03 ;-71.12 ;16;4.9
-20.09 ;-69.23 ;98;4.9
-20.54 ;-68.76 ;111;5
-19.95 ;-71.13 ;30;5.1
-19.92 ;-71.04 ;35;4.3
-19.18 ;-69.39 ;99;4.1
-20.28 ;-71.06 ;33;4.6
-22.61 ;-70.2 ;70;5.2
-19.85 ;-70.92 ;34;5.4
-20.47 ;-68.96 ;99;4.7
-21.9 ;-69.91 ;57;4.1
-20.38 ;-68.87 ;103;5.2
-21.65 ;-70.36 ;38;4.2
-19.88 ;-68.89 ;114;4.9
-19.14 ;-69.12 ;117;4.5
-20.4 ;-69.03 ;110;5.2
-21.63 ;-68.66 ;110;5.3
-22.39 ;-70.22 ;71;4.4
